,cleaned_body,compound_score,pos_score,neu_score,neg_score
785,seat business class flight broken charging usb port seat charge without usb adapter full flight wifi pas dollar return flight provide hot towel service meal return flight hot meal business class flight everyone business class got fruit cheese platter,-0.4767,0.0,0.925,0.075
786,first hopefully last time flying alaska airline paid extra premium economy something always airline available air france british air american alaska airline call premium economy cannot fathom miserable regular economy flight west east coast five hour adequate legroom seat agonizing provided leg support recline could call negligible top grand total refreshment service amounted partially full cup cranapple juice seriously five hour flight entire experience amounted worst flight ever,0.4986,0.177,0.709,0.114
787,people may liked recaro leather seat recline little thin cushion however sat six hour flight felt comfortable recall many year fussy seatbacks back problem including herniated disk seatback well shaped excellent lumbar support better seen anywhere else liked feel leather thing bothered leg room metal box floor ahead aisle center seat made crowded foot stored personal item choose window seat,0.936,0.266,0.668,0.066
788,fly alaska airline southwest weekly ridiculous airline cramming seat aircraft paid premium seat however lb set middle seat passenger need seat belt extender need purchase seat accommodate girth angle hour flight due person next hanging seat unacceptable faa need step dictate measurement passenger seating disappointed alaska airline greedy strategy increase profit better competitor,-0.4215,0.125,0.708,0.168
789,boeing next generation alaska airline vastly better seating alaska older plane leg room pitch generous seat comfortable le worn downside tall people power outlet big exactly right knee especially person front reclines seatback way put center seatback away knee downside middle seat large metal box intruding underseat space isle seat especially small underseat area difficult get even small backpack opinion best economy seat alaska plane window seat unless exit row window seat negative,0.5106,0.152,0.71,0.138
790,alaska airline gone great length talk new recaro seat power port usb connection mention extra comfort afforded high density seat padding thought previous generation slim design seat like sitting sheet plywood leather covering new slimer seat padless plywood feel new height compared marginally better delta slim seat alaska airline seat excruciatingly uncomfortable total lack padding due convex seatback shape opposite curve back odd recent flight fairbanks palm spring hour flight seattle fine bulkhead row frill version economy comfort pay extra like seat power though convenient last winter however flight anchorage honolulu hr minute absolutely unbearable new seat understand people lean forward put head tray table anything better sitting upright plywood last thing new slim seat tiny tray table flimsy barely able hold drink digi player actually able hold really bad,0.5888,0.138,0.756,0.106
791,seat row little recline whatsoever emergency row honolulu san diego hour uncomfortable plane ride ever experienced kept falling forward fell asleep seat straight,-0.5627,0.069,0.693,0.238
792,seat electrically inoperative privacy abreast configuration boeing business class unacceptable three point belt comfortable airbag unit better storage area seat available used landing seat width equivalent premium class seat installed aircraft correct alignment passenger sight seated position ife screen stupid plug location rear passenger move forward disconnecting magnetic plug articulated headrest enough room ottoman foot tall boeing chromatic window shade efficient,0.3818,0.126,0.784,0.09
793,staff check gate flight kind accommodating patient checked bag free got u seat together happy provide anything could need flight seat decent leg room husband food better international flight taken route direct chair comfortable movie current plentiful food service provided two meal mini bottle champagne wine beer snack sandwich soup additional cost problem bag grateful make paris time,0.959,0.297,0.667,0.037
794,worst airline experience seat essentially leg room giant box entertainment right leg making hard get comfy seat hard rock back headrest stay rest literally shoulder entertainment screen loop second flight auckland kept crashing ridiculous usb port make sure charge device aisle room dreadful toilet terrible cramped,-0.7579,0.131,0.614,0.255
795,enjoy experience onboard air tahiti nui seat terrible leg room horrible seat recline even stay back tv screen movie constant rolling thank god laptop customer service unsatisfactory woke sleeping breakfast served asked flight attendant blanket asked breakfast said brings breakfast blanket,0.0516,0.155,0.714,0.131
796,say air tahiti nui worst experience fly papeete read previous review tried without success book business seat economy seat hard become painful hour almost storage capacity seat entertainment system obsolete small screen bad image quality service board limited rather unfriendly airline booking function wait check counter open hour connection time angeles wait hour public area airport limited seating capacity real pity airline enjoys kind monopoly authorized authority better option fly air france airline enjoying monopoly,-0.7578,0.168,0.58,0.252
797,lax ppt many airline option flying tahiti air tahiti nui kind way go said sure designed seat moana economy class idea thinking headrest seat expected economy class much leg room narrow worn used seat average female felt space adequate enough although spreader definitely make space cramped biggest gripe headrest move part feel like someone shoving head forward uncomfortable position world way get comfortable hour flight lax make sleeping difficult even seat way reclined best sleep head tilted forward arm crossed chest positive comment would ife number demand movie show easy use nice big crisp touch screen food greatest feed twice leg trip fa friendly enough french english,0.9826,0.279,0.656,0.064
798,screen difficult work hard view food quite good thing really noticed walk offering water frequently traveller need bathroom really small honestly wondered heavy set people go,0.5531,0.2,0.68,0.12
799,neo vistara newer plane lie flat seat business class hour flight tried bed enough space decent meal provided single tray flight covid seat provided enough privacy considering domestic business class flight typically standard recliner seat ife screen large bright responsive addition ife screen power socket present convenient use,0.6597,0.105,0.895,0.0
800,pleasantly surprised lie flat business class seat le hour flight delhi mumbai seat comfortable lot storage generous recline ample leg room slightly angled away offer additional privacy ife screen quite large easy control touch screen controller charging slot bit placed seated easily accessible seat lie flat recline mode used lie flat mode breakfast found quite comfortable foot adult passenger could restful nap unsure comfortable would long haul medium haul business comfortable seat,0.979,0.319,0.659,0.022
801,traveled premium economy leg space seat width far better standard economy class seat clean,0.6808,0.318,0.682,0.0
802,helpful check counter staff unhurried relaxed boarding process polite inexperienced cabin crew newest aircraft among airline ample seat pitch sufficient aisle space love rich feel full leather seat warm meal,0.9403,0.386,0.614,0.0
803,economy seat leather vistara colour theme maroon silver winged headrest adjustable legroom ample inch wide comfortable seat,0.5106,0.171,0.829,0.0
804,flew vistara premium economy delhi lucknow hour flight seat amazing almost inch pitch width spacious enough seat leather peemium economy economy seat adjustable headrest asset recline relaxing seat pillow vistara premium economy worth,0.886,0.282,0.718,0.0
805,flew vistara bengaluru delhi route hassle check plane almost full passenger boarded efficiently made early departure early minute food phenomenal mile ahead jet airway regard reached minute ahead time interior classy cabin crew ground staff professional jetprivilge member first time vistara flier jet airway need pull sock might move vistara jet vistara add route new vistara operates quieter jet aging fleet land much smoother vistara definitely way top,0.8591,0.154,0.846,0.0
806,flew vistara seat window seat behind wing good headrest ample legroom economy seat better indian airline overhead control worked properly since vistara lacked ife cant review tv amenity,0.7003,0.182,0.818,0.0
807,goa mumbai vistara long time first time really liked everything flight starting moment checked actual flight everything fabulous hostess outstanding serving drink food etc definitely would like travel vistara would recommend,0.9531,0.421,0.579,0.0
808,seat great inch seat pitch coat hook nice touch seat clean dirt free seat easy recline winged headrest easy retract nice reading option board good service boarding arrival,0.9682,0.533,0.415,0.052
809,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
810,seat tui boeing good using time long short haul flew jamaica seat get bit cramped expected really time tv acceptable biggest job acceptable amount content recline pretty average overall tui economy seat average quality work great,0.9363,0.331,0.669,0.0
811,plane seemed new seat pitch horrible like flying budget carrier like air asia southwest long haul flight tall knee seat front look juneyao flight seatguru major tracker sight find much info almost like real airline power outlet tv screen even headphone jack bothering music recall seen plane lacking headphone jack entirely make suspicious much cutting cost,-0.4364,0.112,0.733,0.155
812,seat dreadful aircraft sure dealbreaker hard recline properly cramped nothing say really using boeing sceptical using plane treat customer,-0.1935,0.194,0.543,0.263
813,seat small comfort leg hard pressed seat front aisle narrow meaning lot knocking people food nice flight entertainment great,0.8957,0.442,0.507,0.051
814,boeing sat around midway back foot lightest people issue severe cathay pacific airline seat width seat comfort shockingly bad travelling two elder parent considerably smaller yet found seat incredibly uncomfortable seat width quite bad legroom worst ever experienced airline frequently felt claustrophobic throughout hour flight emphasise space really bad cathay pacific recently changed configuration economy seat economy extra seat really change comfort cabin way hong kong pleasure flying seat width pitch legroom good expecting sadly could barely manage hour seat imagine spending hour seat need sort comfort long haul crew flight exceptional attentive friendly made flight comfortable possible,-0.6436,0.16,0.646,0.194
815,word torture husband weigh respectively huge people husband equally miserable stoic worried window seat husband middle seat simply got first could stow bag overhead difficult exchange seat point get use restroom climb seat kind gentleman aisle got could step way reclined seat front u even though slightly reclined easily get could stretch walk advised result badly swollen ankle upon landing excuse flight hong kong cathay pacific airbus fine coach never fly airplane,-0.5542,0.151,0.68,0.169
816,comfortable seat worth money premium economy seat cloth hard barely reclined metal footrest anything uncomfortable metal footrest hour flight made mistake sitting first row bathroom right side next left way people cross use bathroom either go back cross someone leg complained told passenger cross rest mostly unable foot rested wall pay quite bit extra premium economy worry passenger crossing leg exit row economy comfortable,-0.4404,0.111,0.715,0.174
817,horrid new seat layout economy boeing seat across chair front extended backwards impossible get middle seat aisle tall overweight screen may larger cm nose good thing claustrophobic storage thin padding uncomfortable longest hour ever spent plane plenty choice hkg lhr route use someone else,-0.6908,0.056,0.777,0.167
818,london hong kong flying reconfigured boeing since seat layout cabin reconfigured original width seat little bit narrow still enough space headrest thick soft comfortable legroom ordinary place belonging screen quite large inch width many film watch film provided latest many place place personal item,0.6808,0.118,0.882,0.0
819,worst experience flying large international airline far boeing seat comfort concerned limited legroom lack shoulder space lend claustrophobic experience overall flying long hour bad weather attributed flight getting delayed hour ground staff let rude uncaring unkept promise worsened experience boarding delayed flight food ok nothing great speak cathay seriously need rethink much value really providing towards generating positive customer experience,-0.9099,0.154,0.533,0.314
820,seat comfortable screen resolution entertainment unit good entertainment option limited food lack variety flavour toiletry toilet limited,0.7717,0.423,0.358,0.219
821,seating arrangement cathay pacific boeing colombo hong kong hong kong san francisco flight quite uncomfortable due limited leg room recline shoulder space aisle space,-0.6195,0.0,0.813,0.187
822,found new configuration economy class cathay pacific disgrace boarding meal service extremely slow due narrower aisle larger passenger number extra crew member added new seat uncomfortable width wafer thin seat back overstretched ratio lavatory passenger mean always long queue use facility finally new ife extremely difficult operate overall disappointed airline decision move towards configuration cathay pacific unfortunately longer premium airline marco polo club member since time switch sq,-0.9152,0.017,0.801,0.182
823,new enough legroom seat pitch wide comfortable long haul flight advanced ife new hd screen panasonic ex comfortable way head rest generous recline useful little storage nook overall outstanding economy class product,0.9571,0.42,0.58,0.0
824,boeing spacious seat legroom first airline flown seatbelt foam padding side belt comfortable rest hand,0.7579,0.333,0.667,0.0
825,airline worse seat cathay pacific new ten across seat even usual ten across seating cramped furthermore leg room poor flown airline including low cost carrier poor seat,-0.886,0.0,0.669,0.331
826,crowded flight average seat space flight entertainment good reclining space good another average long haul flight sydney hkg,0.8225,0.364,0.636,0.0
827,quite narrow seat premium economy lucky enough anyone seat next seat pitch fine although good passenger front reclined entire flight leg room fine pillow blanket,0.8074,0.307,0.693,0.0
828,bangkok hong kong cathay boarding process went smoothly felt welcomed fa upon boarding entertainment system mood lighting made relaxing experience food quite pleasant definitely well average seat feel bit cramped today industry standard economy seat comfortable first hour especially seat reclining bottom portion sliding forward really put lot pressure lower leg made leg cramped entire lower area numb next segment jfk issue hour flight seat proved superior,0.942,0.273,0.622,0.105
829,seat comfortable hour flight layout cathay us far spacious many airline felt comfortable moving around seat getting sleep bottom area leg sore point normally always happens entertainment system good plenty movie show watch ife qatar emirate still well average always something food service spectacular quick efficient tasted pretty good,0.9628,0.354,0.608,0.038
830,flew melbourne hong kong premium economy cathay new seat spacious term legroom upgraded entertainment system compared cathay older fleet reasonably easy use lot flight information two camera view outside aircraft screen decent size tablet holder well power usb socket seat comfortable reclined quite long way back foot rest however seat front fully reclined foot rest extended extremely difficult get reason would strongly recommend customer mobility difficulty choose aisle seat,0.8593,0.192,0.745,0.063
831,hardshell seat slide recline backwards may comfortable cathay pacific plane reduce annoyance front especially meal time going toilet legroom width sufficient crowded ife excellent responsive rich content resolution better airline well every seat socket charging mobile phone laptop,0.9413,0.352,0.603,0.045
832,boeing premium economy seat great long haul flight wide enough enough legroom storage seat front armrest wide recline good ife screen wide enough easy use plenty material calf rest hard operate refused extend retract frustrating,0.7269,0.252,0.607,0.141
833,worst seat ever sat boeing fixed back seat make recline slouch recline terribly hurt back glad started phase seat design traditional reclining seat seat obviously old however weirdly spacious seat pitch electrical port make typing laptop convenient seat storage awful airline magazine already filling full fill anything extra make pop seat table inflexible new double folded seat better help exit seat without hold meal tray,-0.8271,0.105,0.696,0.199
834,relatively new within cathay fleet seat good wide legroom good find cramped even tall headrest adjustable address passenger different height seat reclined plane cx seat cannot reclined usb charging port seat mobile phone tv screen great large enough high resolution many movie tv programme good quality earphone provided particularly comfortable wear sound quality great plug earphone usually use smartphone,0.9661,0.279,0.721,0.0
835,economy class layout generally got seat close back plane row layout since le seat row aisle space quite wide slightly hang leg without causing much trouble fight attendant passenger seat comfortable wide sufficient legroom important note economy class seating come hard shell seatback fixed instead reclining backwards slide think design pretty good may comfortable ordinary design definitely delivers better environment inflight meal le annoyance sitting front seat come usb charging port mobile phone tv screen large enough quite user friendly,0.9614,0.258,0.679,0.063
836,found boeing premium economy seat cramped limited legroom support inflight entertainment control box seat front reduced legroom could use likewise legroom underneath constrained support bar near front premium economy cabin found claustrophobic stuffy closed business class curtain raised ottoman blind completely like facing wall close zip inflight kit bag gave broke first time opened toothpaste inside tasted terrible seat aisle rather narrow fact photo show passenger left sitting seat passenger front reclined seat way least could without diminished tv viewing took age bag carousel,0.024,0.112,0.766,0.122
837,disappointed old cabin despite outside plane new livery design map airshow channel broken storage pocket tiny photo show central mounted tv screen impractical stiff move centrally mounted put strange angle watching next passenger tv headphone usb socket worn cabin service cheerful legroom quite good could move without deal passenger recline good bulk head seat,0.1744,0.147,0.701,0.152
838,legroom big spacious seat width wide aisle space average ife alright small still watchable usb port ife universal power outlet bottom seat storage okay,0.4404,0.151,0.849,0.0
839,premium economy new fantastic extra legroom recline great even able sleep overnight flight hong kong brisbane usually sleep plane food excellent ife great extra storage section screen seatback front great phone small item rather stuffing elastic seat pocket gripe would upon landing premium economy passenger given disembarkation priority economy passenger whole economy cabin trying push past try leave separate cabin area premium would easy curtain upon landing allow priority disembarkation like business,0.9792,0.295,0.692,0.013
840,amazing aircraft set new standard travel seat comfortable hour flight ife large hi def touch screen outside camera provided wonderful image departure cruise especially listening relaxing music individual usb port available think may laptop power use,0.9358,0.309,0.691,0.0
841,seat furthest back window seat front alley toilet despite position actually fairly good seat behind afforded decent recline good legroom noise passenger distraction,0.4939,0.204,0.704,0.092
842,cathay premium economy class make hour flight tolerable albeit far cry business product compared regular economy premium economy additional inch length inch width coupled footrest alleviated usual knee bumping legroom issue however elbow space remain issue larger passenger far biggest perk seat inch recline extra padding make sleeping much easier task passenger front reclines however may difficult seatmate leave use lavatory space may feel constricted unless recline well tray well small cocktail table located armrest side seat small rack tv screen store belonging although sufficient larger electronic device,0.0516,0.073,0.856,0.071
843,tiniest hardest seat flown lost count many time adjacent passenger elbowed crossed armrest divide headphone port hard find movie took minute load get pillow rather old stained disappointed outdoor unlike cx newer better plane fact usb port good thing flight,-0.0,0.122,0.735,0.143
844,hong kong sydney boeing kql great flight packed seat bigger last flight tiny cabin hot surprised adjustable air conditioning nozzle domestic flight would overhead stowage unit seat allocated sticker said flight amenity use turned later meaningless sticker another passenger disregarded think plane would benefit wider armrest maybe clear line division carpet passenger next encroached leg space half foot even moved far left could good feature usb port outdoor camera fact relatively new plane ability manage booking hour advance,0.8834,0.182,0.758,0.06
845,flew vancouver hong kong boeing november good service onboard onboard flight attendant knowledgable professional meal good leg room seat width good nice inch tv fairly recent movie classic option concern terminal staff cathay transfer desk stressed tense,0.7717,0.243,0.655,0.101
846,easy transfer connecting flight mainland china cathay pacific cooperation cathay dragon club member taken good including priority boarding much faster check food pretty delicious low fat food good clean comfortable cabin environment equipment good condition quite good board entertainment system pleasant experience waiting hkg plenty shop restaurant available wide seat well lack support neck made hour flight kind stressful easy get service sleeping time,0.9884,0.455,0.467,0.078
847,cabin crew helpful polite especially assisting passenger require attention like father disabled informed leaving plane good hand process assistance airport waiting u guided u fast lane food excellent problem inflight entertainment excellent lot updated movie tv series unfortunately problem seat cramp cannot easily maneuver expecially middle seat tried sleeping gain neck pain leg cramp guess economy class always hope future rectified comfort without paying upgrade,0.9399,0.326,0.494,0.18
848,bulkhead new economy seat wide seat compared airline u cx far maintained boeing abreast configuration making feel le cramped issue bulkhead seat storage seat pocket reasonably far away overall would give storage meant comfort hour flight,0.3612,0.068,0.932,0.0
849,seat width legroom recline wonderful cathay pacific premium economy seat boeing flying hong kong jakarta comfort seat well width legroom beyond expectation liked little tray ife store little thing glass sleep store phone charge usb port right next ife,0.8779,0.241,0.759,0.0
850,vancouver new york decided book bulkhead seat usual seat width generous airline economy class configuration cx ife economy still inch ptv extra legroom bulkhead seat take bit squinting see going reason either person sitting behind seat kind malfunctioning get much recline overall great airline great seating product,0.9423,0.257,0.743,0.0
851,flew jfk hkg cx last february flight fairly comfortable hour flight ife screen could larger well seat legroom food fine economy portion enough ice cream offered dessert main meal service crew friendly flying cx many time observed elderly unaccompanied minor well disables people trouble navigating seat crew would offer seat front cabin business empty seat,0.7906,0.192,0.738,0.069
852,sfo hong kong seat old boeing quite comfortable better legroom enough storage putting bag seat tv screen quiet near usb port screen seat power supply seat mean hard find charge laptop seat better recline airline ever used width enough tall,0.8608,0.21,0.76,0.03
853,shell seat flight operated cathay pacific airway two old boeing recline expectedly uncomfortable due shell seat design otherwise seat generally acceptable good legroom impressive entertainment system entertainment system touch screen easier use although operation system always smooth glad see power supply available socket leg electric plug impossible charge usb plug prefer layout cx layout boeing airline,0.946,0.282,0.681,0.037
854,seat seat new cathay pacific seat generally comfortable entertainment system fantastic large easy use touch screen width fairly acceptable legroom bit limited quite happy seat delighted find power supply available,0.9664,0.484,0.475,0.041
855,economy seat class boeing configuration layout seat width seat access ac power socket like usb socket near entertainment screen little tray put menu paper phone charging legroom good economy class touchscreen ife good overhead luggage bin good size combination make good economy class experience,0.9423,0.308,0.692,0.0
856,overnight flight hong kong san francisco seated window seat seat comfortable plenty legroom entertainment system ton watch power supply outlet seat well usb connecter screen easy charging flight attendant attentive friendly food fantastic good enough came small fruit platter nice,0.9705,0.424,0.576,0.0
857,hkg syd economy class class cathay aircraft crowded across seat layout cathay across economy cabin service two four daily flight busy hong sydney route two flight would prefer fly route overnight flight said seat good economy needed use pc half flight flown cathay ac power port seat hong kong uk style plug seat width inch pitch inch make slightly comfortable full flight seat recline economy even worth mentioning airline like little tray ife usb port store smaller thin object like phone book overhead bin cathay space touchscreen ife hardware good,0.9288,0.158,0.842,0.0
858,travelled cathay pacific premium economy nagoya hong kong dec seat seat spacious recline seat comfortable economy class foot rest available managed nap reaching hk usb port electrical point available seat,0.6249,0.154,0.846,0.0
859,time aircraft refurbished retired tricky slide seat economy recline anyway quite uncomfortable like sat double seat layer really benefit though foil perpetual seat recliner front advantage wife could together could exit toilet stop understanding passenger beside tired hectic holiday hour layover hong kong heathrow ready sleep see cathay pacific flying boeing auckland hong kong summer season missed,0.3566,0.184,0.652,0.164
860,seat old boeing surprised seated comfortably year old aircraft interior retrofitted seat advanced entertainment system installed touch screen seat wide enough economy class legroom fairly satisfactory seat reclining seat instead shell seat huge plus power supply available,0.9062,0.316,0.684,0.0
861,seat slightly year old cabin retrofitted long ago seat tidy felt quite new yet shell seat design substantially lowered level comfort seated would slide forward attempting recline backwards result leg could barely move fortunately hour flight journey still acceptable nevertheless seat advanced entertainment system installed problem killing hour board,-0.0076,0.162,0.691,0.146
862,seat front galley allowing extra recline even meal service particular row allows extra sleep kicking back good legroom economy class seat width good hkg bkk first section economy class cabin feel spacious private due small number seat section seat old shellback design personally feel like seat already reclined way original position comfortable legroom win electrical supply amazing flight,0.9674,0.313,0.687,0.0
863,latest seat great comfortable moreover meal extremely nice took bulkhead seat however distance seat ptv far seat recline poor good person behind,0.8832,0.4,0.508,0.093
864,returned australia four flight cathay pacific economy class leg room economy perfect would see need upgrade extremely comfortble seat suffer back concerned time got australia back would terrible amazingly back actually better started work provided blanket pillow water free alcoholic drink nothing much trouble staff screen back seat front provided everything could possibly movie game tv flight information even view forward facing camera behind front wheel usb power back seat cabin temperature perfect plane staff four different team four flight impeccable lovely people many airline fly actually reverse trolley get past cp first ever seen toilet worked spotless food fault coming back hong kong even noodle curry maybe better airline dont see need try others,0.9263,0.168,0.763,0.069
865,previously flown cathay impressed decided fly company even though fare slightly higher airline time flight hk new york hr min satisfying experience food excellent service great distance seat seat front restrictive knee pressed bar front seat passenger front exit row seat front kept seat fully reclined throughout flight except landing even requested put seat upright back reclined soon attendant left realise probably right seems unfair passenger behind especially long haul tried walk around stand every hour told loiter go back seat solution horrible seat,0.8625,0.162,0.772,0.066
866,think cathay pacific economy seat comfortable good even long haul wish serve better meal sandwich wrap short haul flight rode cx mnl hkg back short hour flight expecting food knew served tried picking special meal advantage service found weird carry snack even peanut like check kowloon station ahead time convenient dont drag bag around knew gate hr minute flight delayed hour expecting bigger plane decided change aircraft,0.9439,0.254,0.701,0.044
867,hkg yvr jfk flight leaf hk midnight welcome drink everyone onboard hot towel dinner lunch service hk vancouver three choice main course plus haagen dazs ice cream seat left side cabin first row premium economy pity seat window footrest passenger sits first row premium economy exit front seat plenty legrooms relax catering service flight fantastic almost business class standard dragonair downside seat enough storage space find space put amenity bag slipper everything need overall think cathay pacific airway premium economy successful product worth try,0.9001,0.158,0.799,0.044
868,taipei hong kong old aircraft seat old version catering service onboard quite simple rice minced pork beverage kind seat rare cathay pacific airway fleet good idea travel aircraft long haul flight,0.743,0.178,0.822,0.0
869,travelled hong kong aircraft found seat extremely uncomfortable recline result would travel airline disappointing airline fly route europe,-0.7264,0.0,0.724,0.276
870,sydney hong kong service excellent economy cabin plane comfortable seat comfy reclined far enough sleep legroom good quite short entertainment best experienced good range movie etc downside every movie minute ad although skip another downside many toilet plane none back aircraft cathay food nice service good well,0.9754,0.413,0.528,0.059
871,yvr hkg bkk new er made hour flight breeze row front galley could recline meal service without fear someone would kicking back surprised see new seat cx bangkok route would normally older cabin shellback seat love cathay using newer seat regional route,0.8284,0.183,0.817,0.0
872,hkg syd hkg premium economy good product seat comfortable good width storage space seat pitch great cx always good entertainment program downside monitor good carrier audio bit weak food drink good nice choice like premium economy separate compartment make cabin much relaxed much toilet traffic good particular night flight overall good product although price difference economy premium economy cx quite considerable quite line offering,0.9862,0.42,0.527,0.053
873,cathay pacific best round premium economy seat hour australia offer premium economy seat direct brisbane hong kong flight day day stop cairn hour deal breaker large guy seat really comfortable armrest aisle seat lifted enough recline sleep much trap food service good quite good qantas comfortable seat drawback seperate toilet use economy one big thing never really big line seat good screen plenty movie choice lot storage front usb charging screen level keep cathay,0.9484,0.222,0.729,0.05
874,kaoshuing hong kong seat really great studio cx fantastic provides plenty movie music game like inflight golf tournament available seat comfortable good legroom move leg seat bit small fat access seat wonderful,0.9657,0.44,0.56,0.0
875,boeing hard shell seat hard shell bad short haul hour flight although seat recline person front lean back occupy limited space hard shell comfortable compared ordinary seat feel relaxed seat appear aircraft star airline cathay want seat recline much occupy place back maybe could choose ordinary seat could recline max angle fixed reduce effect person back hand seat legroom acceptable satisfactory enough seat width good like cathay aircraft conclusion fixed shell seat preferred,0.9118,0.233,0.661,0.106
876,worst seat ever long distance flight flight zurich hong kong perfectly ok seat reclinable return flight seat reclinable shell seat hour night flight pure torture never ever travelled seat never ever reiterate experience ergonomics absolutely considered despite small size make long distance flight seems pretty confortable comparison taller people seat kept sleeping back still recover two day later positive aspect flight helpful staff nice food good entertainment,0.9382,0.274,0.637,0.089
877,flew hk lhr flying adl hk hour stretch leg flight concede may made second leg difficult might otherwise never go way australia europe back without least night seat little recline seat front fully reclined person next asleep wedged seat without even enough room stretch poor leg awful check food service great make discomfort,-0.743,0.065,0.756,0.18
878,worst seating encountered long time reclining bottom seat moving forward combination thought someone never fly certainly never fly economy cathay bad back sore neck sore tail bone never ever fly cx,-0.9279,0.0,0.64,0.36
879,flew sgn hkg service awesome seat comfortable got bread chicken breakfast delicious flight attendant friendly inflight entertainment interesting many movie game music enjoyed well,0.9756,0.612,0.388,0.0
880,adelaide hong kong return seat recline upright whole flight bad back result agony crippling return flight painful thought going pas hour room stretch seat provided little wriggle room tried exercise everything make comfortable cabin staff wonderful food great entertainment good seat terrible,0.6705,0.271,0.531,0.198
881,whoever decided away reclining seat replace shell seat back squab slump forward need brought task never experienced dismal failure design almost everything abomination insult would considered good customer honestly park bench would comfortable never fly cathay aeroplane type seat fitted,0.9019,0.29,0.652,0.058
882,brand new regional layout legroom perfect ptv screen could bigger breakfast delicious flight attendant work smart quick react,0.8779,0.402,0.598,0.0
883,sydney via hong kong paris first hour hk okay pretty major airline complaint seat comfort access configuration however shell seat hard uncomfortable worst sat fact seat recline hip merely slump downwards putting immense amount pressure lower back bottom terrible getting kind sleep rest even general comfort average height small build imagine horror might feel like taller bigger built people slumped seat appears large gap paper thin seat padding headrest causing spinal issue support head neck shoulder final insult seat belt airbag make side belt extremely bulky quite weighty cumbersome even sitting upright never mind trying sleep uncomfortably restricted bulging leather strap limited leg room seat front sure probably fault shell seat design low floor limited space seat pocket annoying fit much seat either saving grace aircraft design configuration travelling person nice twosome without fear dreaded middle seat clambering stranger sleep go restroom,-0.6882,0.184,0.597,0.219
884,hard shell seat terrible recline slide instead though get privacy worth meal great though crew member work hard appreciate,0.5859,0.315,0.471,0.214
885,flew hong kong paris shell seating economy inhuman recline impossible sleep ended neck pain day legroom limited resulting swollen ankle surprised cathay keep seat everyone flight another called cabin crew ask recline told flew cathay seat configuration never fly airline,-0.5106,0.043,0.839,0.118
886,seat reclining shell seat base slide forward inch terrible flew hour auckland hong kong hour return uncomfortable ever impossible sleep even relax food okay seat give stiff neck slouch ultramodern stiff back stiff neck pillow good back support needed toilet economy cramped fly choice,0.5719,0.192,0.702,0.105
887,flew paris hong kong shell seat recline impossible sleep tv work fly aircraft cathay sure replaced appalling seat one recline pity three leg trip airline excellent,0.3182,0.183,0.673,0.144
888,comfortable seat well padded leg room ok entry exit seat ok table great size arm rest good size,0.9413,0.583,0.417,0.0
889,flew toronto hong kong hour great experience cx flown cathay economy much better seat new generous width pitch service however much better economy get priority service airport much plane food pretty much except metal cutlery get small basic amenity kit would recommend long haul flight really short medium haul,0.9578,0.305,0.695,0.0
890,tall person ample legroom even access surprisingly easy highly recommend seat,0.7841,0.497,0.503,0.0
891,hkg sfo premium economy row forward bulkhead seat flight attendant passenger open close galley curtain able sleep due constant traffic noise light come curtain opening closing,0.0,0.0,1.0,0.0
892,board cathay pacific cx singapore hong kong aircraft used new regional haul seating plan aircraft comfortable seat formerly shell seating due complains passenger experienced seat cathay decided switch aircraft shell seat recline seat therefore making comfortable passenger,0.6124,0.153,0.787,0.06
893,johannesburg taipei flight leg hour flight new shell seat fixed back rest torture manage sleep whoever designer seat hour flight experience uncomfortable,-0.7579,0.0,0.755,0.245
894,much impressed new revamp class seat comfortable slightly wider previous seat much improved ife best far experienced cabin crew friendly always smiling rang cabin service bell attended second noticed cabin toilet clean well done cx revamp definitely consider flying cx right track negative rear toilet,0.9709,0.415,0.53,0.056
895,travelled hong kong paris fixed shell seat unacceptable could sleep could sleep flight watched ptv hour cdg hour hkg service flight attendant entertainment system studiocx disappoint,-0.4404,0.089,0.73,0.181
896,new economy seat long haul flight huge improvement old shell fixed back design well done much improved,0.8591,0.447,0.553,0.0
897,seat located cabin configuration therefore lucky extra legroom space comfortable seat soft cushion good seat pitch seat reclines without disturbing person behind considering ife system screen okay although lavatory back may bothersome overall good seat,0.9217,0.353,0.598,0.049
898,awful flying london hong kong hour much pain think seat design asian passenger european never ever fly airline return trip desperately tried buy business class ticket sadly fully booked know fly three time year hk,-0.8934,0.0,0.726,0.274
899,cx switched back conventional seat comfortable switch light call button everything touch screen problem sleeping brushed screen would interrupt sleep junior wanted watch tv could switch screen knew tap screen keep get switch please,0.128,0.138,0.737,0.125
900,reclining incredibly hard painfully uncomfortable shell seat really let otherwise excellent airline please cathay pacific big advertising campaign finally replaced seat fly idea long haul flight seat,-0.2433,0.172,0.603,0.226
901,seat recline two flight leg cx two hour another twelve hour seat feature best described slouching whereby bottom cushion slide forward enforcing type involuntary slouch seat back support flight time longer say two hour absolute torture sleep near impossible addition seat extremely hard,0.3197,0.134,0.757,0.109
